state,state_full,city,lat,lng,central,unit,population_quantity
PI,Piauí,TERESINA,-51.063.746,-42.755.701,17,f6b195cc,902644.0
PI,Piauí,TERESINA,-50.548.057,-427.553.939,17,b1b2b821,902644.0
PI,Piauí,TERESINA,-51.471.264,-427.821.689,17,82d4e30b,902644.0
PI,Piauí,TERESINA,-50.894,-427.756,17,9ed80061,902644.0
AP,Amapá,MACAPÁ,413.918,-510.680.501,6,708da50f,487200.0
AP,Amapá,MACAPÁ,413.918,-510.680.501,6,bbcecec0,487200.0
AP,Amapá,MACAPÁ,386,-510.663,6,d4ea3eae,487200.0
AP,Amapá,MACAPÁ,213.447,-510.653.008,6,dc5085b4,487200.0
AP,Amapá,OIAPOQUE,3.8408,-518.349,6,c4842218,30481.0
AP,Amapá,SANTANA,-43.515,-511.727.318,6,6f8031bb,118353.0
AP,Amapá,SERRA DO NAVIO,9.017,-52.003,6,ad84f8eb,4986.0
AP,Amapá,CALÇOENE,24.996.142,-509.587.544,6,3876e2ae,11391.0
AP,Amapá,TARTARUAGALZINHO,1.5069,-509.158,6,635e57e9,12945.0
AP,Amapá,LARANJAL DO JARI,-8.406,-525.158,6,d810a488,37969.0
AP,Amapá,SERRA DO NAVIO,9.017,-52.003,6,a4487026,4986.0
AP,Amapá,MACAPÁ,969.889,-51.051.234,6,1940b0db,487200.0
AP,Amapá,SERRA DO NAVIO,9.017,-52.003,6,ba5581e3,4986.0
PI,Piauí,PARNAÍBA,-29.041.903,-417.748.337,26,9747f3cb,169552.0
TO,Tocantins,ARAGUAÍNA,-71.914,-482.075,27,8ee94ab6,181493.0
TO,Tocantins,ARAGUAÍNA,-71.914,-482.075,27,cb02d8a0,181493.0
MA,Maranhão,LAGO DA PEDRA,-45.677.481,-451.274.233,19,7979ab16,45875.0
MT,Mato Grosso,PRIMAVERA DO LESTE,-145.619,-542.969,23,b55c7b26,85146.0
MT,Mato Grosso,PARANATINGA,-144.269,-540.519,23,598f319f,28228.0
PI,Piauí,CAMPO MAIOR,-48.275,-421.689,10,2c688f00,47074.0
PA,Pará,CAMETÁ,-22.439,-494.958,15,3db6fea4,143837.0
PA,Pará,CAMETÁ,-22.446.829,-494.982.743,15,88c85142,143837.0
