equipment,manufacturer,unit,state,state_full,city,lat,lng
TOMOGRAFIA COMPUTADORIZADA,CANON,PRONTO SOCORRO MUNICIPAL MARIO PINOTTI,PA,PARA,BELÉM,-1.452,-48.489
DR,KONICA MINOLTA,UPA 24H - SACRAMENTA,PA,PARA,BELÉM,-1.447,-48.466
CONSOLE CR ou DR,KONICA MINOLTA,UPA 24H - SACRAMENTA,PA,PARA,BELÉM,-1.447,-48.466
CONSOLE CR ou DR,FUJIFILM,UPA DE CAMETA,PA,PARA,CAMETA,-2.2444,-49.4958
CONSOLE CR ou DR,FUJIFILM,URE SAÚDE DA MULHER,PA,PARA,BELÉM,-1.452,-48.489
IMPRESSORA,KONICA MINOLTA,URE SAÚDE DA MULHER,PA,PARA,BELÉM,-1.452,-48.489
ULTRASSOM,TOSHIBA,CENTRO DE DIAGNOSTICO CAMETÁ,PA,PARA,CAMETA,-2.2433,-49.4983
IMPRESSORA,SONY,CENTRO DE DIAGNOSTICO CAMETÁ,PA,PARA,CAMETA,-2.2433,-49.4983
TOMOGRAFIA COMPUTADORIZADA,CANON,CENTRO DE DIAGNOSTICO CAMETÁ,PA,PARA,CAMETA,-2.2433,-49.4983
IMPRESSORA,XEROX,CENTRO DE DIAGNOSTICO CAMETÁ,PA,PARA,CAMETA,-2.2433,-49.4983
CONSOLE CR ou DR,FUJIFILM,FUNDAÇÃO SANTA CASA DE MISERICORDIA DO PARA,PA,PARA,BELÉM,-1.43996,-48.48151
CONSOLE CR ou DR,FUJIFILM,FUNDAÇÃO SANTA CASA DE MISERICORDIA DO PARA,PA,PARA,BELÉM,-1.43996,-48.48151
TOMOGRAFIA COMPUTADORIZADA,CANON,FUNDAÇÃO SANTA CASA DE MISERICORDIA DO PARA,PA,PARA,BELÉM,-1.43996,-48.48151
TOMOGRAFIA COMPUTADORIZADA,CANON,FUNDAÇÃO SANTA CASA DE MISERICORDIA DO PARA,PA,PARA,BELÉM,-1.43996,-48.48151
MAMOGRAFIA,KONICA MINOLTA,FUNDAÇÃO SANTA CASA DE MISERICORDIA DO PARA,PA,PARA,BELÉM,-1.43996,-48.48151
RAIO X MÓVEL,KONICA MINOLTA,FUNDAÇÃO SANTA CASA DE MISERICORDIA DO PARA,PA,PARA,BELÉM,-1.43996,-48.48151
RAIO X MÓVEL,KONICA MINOLTA,FUNDAÇÃO SANTA CASA DE MISERICORDIA DO PARA,PA,PARA,BELÉM,-1.43996,-48.48151
DR,KONICA MINOLTA,FUNDAÇÃO SANTA CASA DE MISERICORDIA DO PARA,PA,PARA,BELÉM,-1.43996,-48.48151
DR,KONICA MINOLTA,FUNDAÇÃO SANTA CASA DE MISERICORDIA DO PARA,PA,PARA,BELÉM,-1.43996,-48.48151
RAIO X,KONICA MINOLTA,FUNDAÇÃO SANTA CASA DE MISERICORDIA DO PARA,PA,PARA,BELÉM,-1.43996,-48.48151
RAIO X,KONICA MINOLTA,FUNDAÇÃO SANTA CASA DE MISERICORDIA DO PARA,PA,PARA,BELÉM,-1.43996,-48.48151
IMPRESSORA,KONICA MINOLTA,FUNDAÇÃO SANTA CASA DE MISERICORDIA DO PARA,PA,PARA,BELÉM,-1.43996,-48.48151
CONSOLE CR ou DR,KONICA MINOLTA,FUNDAÇÃO SANTA CASA DE MISERICORDIA DO PARA,PA,PARA,BELÉM,-1.43996,-48.48151
CONSOLE CR ou DR,KONICA MINOLTA,FUNDAÇÃO SANTA CASA DE MISERICORDIA DO PARA,PA,PARA,BELÉM,-1.43996,-48.48151
DR,KONICA MINOLTA,FUNDAÇÃO SANTA CASA DE MISERICORDIA DO PARA,PA,PARA,BELÉM,-1.43996,-48.48151
DR,KONICA MINOLTA,FUNDAÇÃO SANTA CASA DE MISERICORDIA DO PARA,PA,PARA,BELÉM,-1.43996,-48.48151
DR,KONICA MINOLTA,HOSPITAL DE RETAGUARDA DOM VICENTE ZICO,PA,PARA,BELÉM,-1.43,-48.47
RAIO X,KONICA MINOLTA,HOSPITAL DE RETAGUARDA DOM VICENTE ZICO,PA,PARA,BELÉM,-1.43,-48.47
CONSOLE CR ou DR,KONICA MINOLTA,HOSPITAL DE RETAGUARDA DOM VICENTE ZICO,PA,PARA,BELÉM,-1.43,-48.47
IMPRESSORA,XEROX,HOSPITAL DE RETAGUARDA DOM VICENTE ZICO,PA,PARA,BELÉM,-1.43,-48.47
DR,KONICA MINOLTA,HOSPITAL GERAL DE MOSQUEIRO,PA,PARA,BELÉM,-1.455752,-48.490186
CONSOLE CR ou DR,KONICA MINOLTA,HOSPITAL GERAL DE MOSQUEIRO,PA,PARA,BELÉM,-1.455752,-48.490186
IMPRESSORA,XEROX,HOSPITAL GERAL DE MOSQUEIRO,PA,PARA,BELÉM,-1.455752,-48.490186
DR,KONICA MINOLTA,UMS - TAPANÁ,PA,PARA,BELÉM,-1.43,-48.47
CONSOLE CR ou DR,KONICA MINOLTA,UMS - TAPANÁ,PA,PARA,BELÉM,-1.43,-48.47
IMPRESSORA,XEROX,UMS - TAPANÁ,PA,PARA,BELÉM,-1.43,-48.47
DR,KONICA MINOLTA,UMS OUTEIRO,PA,PARA,BELÉM,-1.2658,-48.4606
CONSOLE CR ou DR,KONICA MINOLTA,UMS OUTEIRO,PA,PARA,BELÉM,-1.2658,-48.4606
DR,KONICA MINOLTA,UNIDADE MUNICIPAL DE SAÚDE - UMS MARAMBAIA,PA,PARA,BELÉM,-1.403309,-48.435223
IMPRESSORA,XEROX,UNIDADE MUNICIPAL DE SAÚDE - UMS MARAMBAIA,PA,PARA,BELÉM,-1.403309,-48.435223
CONSOLE CR ou DR,KONICA MINOLTA,UNIDADE MUNICIPAL DE SAÚDE - UMS MARAMBAIA,PA,PARA,BELÉM,-1.403309,-48.435223
DR,KONICA MINOLTA,UPA ICOARACI,PA,PARA,BELÉM,-1.3,-48.45
CONSOLE CR ou DR,KONICA MINOLTA,UPA ICOARACI,PA,PARA,BELÉM,-1.3,-48.45
DR,KONICA MINOLTA,HOSPITAL REGIONAL DE JIPARANA,RO,RONDONIA,JI-PARANA,-10.8715,-61.9459
DR,KONICA MINOLTA,HOSPITAL REGIONAL DE JIPARANA,RO,RONDONIA,JI-PARANA,-10.8715,-61.9459
RAIO X,KONICA MINOLTA,HOSPITAL REGIONAL DE JIPARANA,RO,RONDONIA,JI-PARANA,-10.8715,-61.9459
TOMOGRAFIA COMPUTADORIZADA,CANON,HOSPITAL REGIONAL DE JIPARANA,RO,RONDONIA,JI-PARANA,-10.8715,-61.9459
RAIO X MÓVEL,KONICA MINOLTA,HOSPITAL REGIONAL DE JIPARANA,RO,RONDONIA,JI-PARANA,-10.8715,-61.9459
RAIO X,KONICA MINOLTA,HOSPITAL REGIONAL DE JIPARANA,RO,RONDONIA,JI-PARANA,-10.8715,-61.9459
MAMOGRAFIA,KONICA MINOLTA,HOSPITAL REGIONAL DE JIPARANA,RO,RONDONIA,JI-PARANA,-10.8715,-61.9459
DR,KONICA MINOLTA,HOSPITAL REGIONAL DE JIPARANA,RO,RONDONIA,JI-PARANA,-10.8715,-61.9459
RAIO X MÓVEL,KONICA MINOLTA,HOSPITAL REGIONAL DE JIPARANA,RO,RONDONIA,JI-PARANA,-10.8715,-61.9459
MAMOGRAFIA,KONICA MINOLTA,HOSPITAL REGIONAL DE JIPARANA,RO,RONDONIA,JI-PARANA,-10.8715,-61.9459
CONSOLE CR ou DR,KONICA MINOLTA,HOSPITAL REGIONAL DE JIPARANA,RO,RONDONIA,JI-PARANA,-10.8715,-61.9459
CONSOLE CR ou DR,KONICA MINOLTA,HOSPITAL REGIONAL DE JIPARANA,RO,RONDONIA,JI-PARANA,-10.8715,-61.9459
DR,KONICA MINOLTA,HOSPITAL REGIONAL DE JIPARANA,RO,RONDONIA,JI-PARANA,-10.8715,-61.9459
